,has_link,has_attachment,urgency_score,spelling_errors,email_length_words,is_phishing,subject_Claim Your Reward Now,subject_Interview Schedule,subject_Invoice Attached,subject_Meeting Reminder,subject_Project Update,subject_Suspicious Login Attempt,subject_Urgent Account Verification,subject_Weekly Newsletter,subject_Your Password Will Expire,Domain_company-secure,Domain_gmail,Domain_outlook,Domain_paypal-alert,Extension_net
38,1,0,-0.24079411195289127,-0.5322946940764718,1.6198944674193316,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
39,1,1,-1.5736028496995214,-1.1555905887796,0.20734978776726024,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
40,0,0,-0.9071984808262062,-1.1555905887796,1.8973586009224173,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
41,0,1,-0.24079411195289127,-0.5322946940764718,-0.22145841855569007,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
42,1,1,0.7588124413570813,0.09100120062665669,-0.8646707280401155,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
43,1,1,-1.5736028496995214,-0.5322946940764718,0.24518580597222642,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
44,1,1,0.4256102569204237,1.6492409373844779,-0.6502666248786403,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,0,-1.5736028496995214,-0.5322946940764718,0.15690176349397195,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
46,1,0,-0.24079411195289127,-0.5322946940764718,0.15690176349397195,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,1,0,0.7588124413570813,0.09100120062665669,-1.0664628251332686,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
48,1,1,0.7588124413570813,-0.22064674672490753,-1.167358873679845,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
49,1,0,0.7588124413570813,0.09100120062665669,-0.18362240035072386,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,0,1,-1.5736028496995214,-0.5322946940764718,0.8379500911833636,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
51,0,0,-0.24079411195289127,-0.843942641428036,-0.23407042462401212,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
52,1,1,0.4256102569204237,1.960888884736042,-0.8520587219717934,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
53,1,1,0.4256102569204237,0.40264914797822093,-0.398026503512199,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
54,1,1,-0.5739962963895487,-0.5322946940764718,-0.33496647317058864,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
55,1,0,0.7588124413570813,0.40264914797822093,-0.5872065945370301,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,0,1,-0.5739962963895487,-1.1555905887796,1.7081785098975861,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
57,1,0,1.0920146257937386,0.7142970953297851,-1.0160148008599803,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
58,1,1,1.0920146257937386,0.7142970953297851,-0.7133266552202506,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
59,0,0,-0.9071984808262062,-0.843942641428036,0.25779781204054847,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,0,0,0.7588124413570813,1.960888884736042,-0.18362240035072386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
61,1,0,1.4252168102303961,-0.22064674672490753,-1.1799708797481672,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
62,1,1,0.7588124413570813,0.40264914797822093,-1.2051948918848112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,0,0,-0.5739962963895487,-0.5322946940764718,-0.42325051564884314,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
64,0,0,-1.2404006652628639,-1.1555905887796,0.49742592733866775,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
65,0,1,-0.9071984808262062,-1.1555905887796,0.2956338302455147,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
66,0,0,-1.2404006652628639,-0.5322946940764718,2.0234786616056377,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
67,1,0,0.7588124413570813,0.7142970953297851,-1.2556429161580995,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
68,1,0,-1.5736028496995214,-0.5322946940764718,0.724442036568465,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
69,1,0,0.4256102569204237,1.6492409373844779,-0.8646707280401155,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
70,0,0,1.4252168102303961,0.7142970953297851,-0.33496647317058864,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
71,0,0,0.4256102569204237,-0.22064674672490753,-1.0034027947916582,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
72,1,0,-0.9071984808262062,-0.5322946940764718,0.8757861093883298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
73,1,0,1.0920146257937386,1.960888884736042,-0.9151187523134038,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,1,0,0.4256102569204237,0.09100120062665669,-0.7637746794935389,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,0,1,-1.5736028496995214,-1.1555905887796,1.468550394599467,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
76,1,1,-0.9071984808262062,-0.843942641428036,0.09384173315236162,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
77,1,0,-0.9071984808262062,-1.1555905887796,0.18212577563061608,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
78,0,1,-0.5739962963895487,-0.5322946940764718,1.1784742550280594,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
79,0,1,-0.5739962963895487,-1.1555905887796,-0.3223544671022666,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
80,0,1,-1.2404006652628639,-1.1555905887796,-0.41063850958052106,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
81,0,0,0.7588124413570813,1.6492409373844779,-0.5367585702637417,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
82,0,1,1.4252168102303961,1.960888884736042,-0.7259386612885728,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,1,1,-1.2404006652628639,-0.5322946940764718,-0.6124306066736741,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
84,1,0,0.7588124413570813,0.7142970953297851,-0.38541449744387696,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,1,1,-0.24079411195289127,-0.5322946940764718,-0.30974246103394454,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
86,1,0,-1.5736028496995214,-1.1555905887796,0.3208578423821588,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,0,0,-0.5739962963895487,-0.5322946940764718,0.49742592733866775,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
88,1,1,1.4252168102303961,1.3375929900329135,-0.9025067462450816,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,1,1,-1.2404006652628639,-1.1555905887796,-0.33496647317058864,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
90,1,0,1.0920146257937386,0.7142970953297851,-0.6376546188103183,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
91,1,1,-1.2404006652628639,-1.1555905887796,1.0901902125498049,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
92,1,1,-1.2404006652628639,-0.5322946940764718,-0.6502666248786403,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
93,0,0,1.4252168102303961,0.09100120062665669,-0.42325051564884314,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
94,0,0,0.7588124413570813,1.0259450426813492,-0.33496647317058864,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
95,0,1,-0.5739962963895487,-1.1555905887796,0.7118300305001429,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
96,1,0,-1.5736028496995214,-1.1555905887796,1.67034249169262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,1,0,0.4256102569204237,0.40264914797822093,-1.0286268069283024,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
98,0,0,-0.24079411195289127,-0.843942641428036,-0.17101039428240178,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
99,1,1,0.7588124413570813,0.7142970953297851,-1.0916868372699127,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100,1,1,0.7588124413570813,1.0259450426813492,-0.15839838821407973,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
101,0,1,1.4252168102303961,0.7142970953297851,-1.369150970772998,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
102,0,1,-0.5739962963895487,-0.5322946940764718,2.061314679810604,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
103,1,0,-1.2404006652628639,-0.5322946940764718,-0.41063850958052106,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
104,0,1,-0.5739962963895487,-0.843942641428036,0.8505620972516856,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
105,1,1,-0.9071984808262062,-0.843942641428036,0.06861772101571749,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
106,1,1,0.7588124413570813,0.7142970953297851,-0.6376546188103183,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
107,1,0,-1.5736028496995214,-1.1555905887796,1.0901902125498049,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
108,1,0,0.4256102569204237,0.09100120062665669,-0.9907907887233361,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,1,0,1.0920146257937386,0.09100120062665669,-0.2466824306923342,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
110,0,0,0.7588124413570813,0.40264914797822093,-0.6502666248786403,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
111,1,1,0.4256102569204237,1.960888884736042,-0.7511626734252169,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
112,0,0,-1.5736028496995214,-0.843942641428036,-0.019666321462536985,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
113,1,0,-1.2404006652628639,-0.843942641428036,0.5478739516119561,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
114,1,0,-0.5739962963895487,-0.843942641428036,-0.22145841855569007,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
115,1,0,-1.5736028496995214,-1.1555905887796,0.7118300305001429,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
116,1,1,-1.5736028496995214,-0.843942641428036,1.4433263824628229,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
117,0,0,-1.5736028496995214,-1.1555905887796,0.09384173315236162,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
118,1,1,1.0920146257937386,1.0259450426813492,-0.5115345581270976,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
119,0,0,-0.24079411195289127,-1.1555905887796,-0.07011434573582526,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
120,0,1,1.0920146257937386,0.09100120062665669,-1.2430309100897774,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
121,1,0,-1.2404006652628639,-0.843942641428036,-0.5493705763320638,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
122,1,0,-0.24079411195289127,-0.5322946940764718,0.6866060183634988,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
123,1,1,0.7588124413570813,0.09100120062665669,-1.2304189040214555,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
124,1,0,0.7588124413570813,1.3375929900329135,-0.7133266552202506,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
125,1,1,-0.24079411195289127,-0.843942641428036,1.2163102732330255,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
126,1,0,-1.2404006652628639,-0.843942641428036,1.7838505463075187,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
127,1,1,1.0920146257937386,-0.22064674672490753,-0.9403427644500478,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
128,1,1,0.4256102569204237,1.0259450426813492,-0.398026503512199,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
129,0,1,-1.2404006652628639,-1.1555905887796,-0.5367585702637417,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
130,1,1,0.7588124413570813,0.40264914797822093,-1.2051948918848112,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
131,0,1,-0.9071984808262062,-0.5322946940764718,1.0019061700715504,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
132,1,0,-0.9071984808262062,-0.843942641428036,0.2199617938355823,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
133,1,0,0.7588124413570813,1.6492409373844779,-1.0412388129966244,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
134,1,0,-1.5736028496995214,-0.843942641428036,0.9892941640032283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
135,1,0,-0.9071984808262062,-1.1555905887796,0.19473778169893816,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
136,1,1,0.7588124413570813,1.6492409373844779,-0.5493705763320638,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
137,0,0,-1.2404006652628639,-0.843942641428036,0.27040981810887055,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
138,0,0,-0.24079411195289127,-0.5322946940764718,-0.3728024913755549,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
139,0,0,-1.2404006652628639,-0.5322946940764718,1.0649662004131608,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
140,0,0,-1.2404006652628639,-1.1555905887796,1.9351946191273834,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
141,0,1,-1.2404006652628639,-0.843942641428036,1.0523541943448387,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
142,1,1,-1.2404006652628639,-1.1555905887796,1.3928783581895345,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
143,0,0,0.7588124413570813,0.40264914797822093,-0.4736985399221314,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
144,0,0,-0.5739962963895487,-0.5322946940764718,0.6613820062268546,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
145,1,0,1.0920146257937386,0.7142970953297851,-1.2051948918848112,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
146,1,0,0.7588124413570813,1.6492409373844779,-1.4069869889779643,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
147,1,0,-1.2404006652628639,-0.5322946940764718,1.0019061700715504,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
148,1,1,-0.9071984808262062,-0.5322946940764718,0.3334698484504809,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
149,0,1,0.4256102569204237,1.960888884736042,-0.4610865338538093,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
150,1,1,0.7588124413570813,1.960888884736042,-0.6124306066736741,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,0,0,-1.5736028496995214,-0.843942641428036,1.3424303339162462,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
152,1,0,-1.5736028496995214,-0.843942641428036,0.15690176349397195,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
153,0,0,-0.24079411195289127,-0.843942641428036,-0.5872065945370301,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
154,0,0,1.0920146257937386,1.960888884736042,-1.1295228554748789,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
155,1,1,-1.2404006652628639,-1.1555905887796,0.4217538909287354,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
156,1,0,0.7588124413570813,1.960888884736042,-0.6628786309469624,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
157,1,0,-0.9071984808262062,-0.5322946940764718,1.7712385402391966,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
158,0,0,-0.5739962963895487,-1.1555905887796,-0.5619825824003859,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
159,1,0,-0.5739962963895487,-0.5322946940764718,1.4937744067361112,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
160,1,1,-1.2404006652628639,-0.5322946940764718,1.6325064734876538,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
161,1,1,0.7588124413570813,1.3375929900329135,-0.398026503512199,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
162,1,1,0.7588124413570813,0.09100120062665669,-0.5241465641954197,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
163,0,0,0.4256102569204237,-0.22064674672490753,-1.2304189040214555,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
164,1,1,-0.9071984808262062,-0.843942641428036,1.5694464431460435,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
165,0,1,-0.5739962963895487,-1.1555905887796,1.0271301822081946,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
166,0,0,1.0920146257937386,0.7142970953297851,-0.9907907887233361,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
167,1,1,0.7588124413570813,0.40264914797822093,-1.0286268069283024,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
168,0,1,-0.9071984808262062,-0.5322946940764718,0.018169696742429218,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
169,1,0,1.0920146257937386,1.960888884736042,-1.3060909404313878,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
170,1,0,-1.5736028496995214,-0.5322946940764718,0.1442897574256499,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
171,1,0,0.4256102569204237,1.3375929900329135,-0.3728024913755549,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
172,1,1,-1.5736028496995214,-0.843942641428036,0.15690176349397195,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
173,1,1,0.4256102569204237,1.6492409373844779,-0.95295477051837,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
174,1,1,-1.2404006652628639,-0.843942641428036,0.7748900608417533,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
175,1,0,-0.5739962963895487,-1.1555905887796,0.6487700001585326,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
176,1,0,1.0920146257937386,1.3375929900329135,-1.1042988433382348,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
177,1,1,-1.5736028496995214,-1.1555905887796,-0.22145841855569007,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
178,0,1,0.7588124413570813,1.6492409373844779,-0.9277307583817258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
179,1,1,-0.24079411195289127,-0.5322946940764718,0.5352619455436339,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
180,1,0,-1.2404006652628639,-0.5322946940764718,0.8379500911833636,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
181,0,1,-0.24079411195289127,-1.1555905887796,-0.33496647317058864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
182,1,1,-1.5736028496995214,-0.5322946940764718,2.061314679810604,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
183,1,1,-0.24079411195289127,-0.5322946940764718,1.7712385402391966,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
184,0,0,-0.24079411195289127,-1.1555905887796,0.27040981810887055,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
185,1,0,1.4252168102303961,0.7142970953297851,-1.2934789343630657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,1,0,1.0920146257937386,1.960888884736042,-1.0664628251332686,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
187,1,0,1.4252168102303961,1.0259450426813492,-0.7511626734252169,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
188,0,0,-1.5736028496995214,-0.843942641428036,0.18212577563061608,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
189,0,0,-0.24079411195289127,-0.843942641428036,0.7118300305001429,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
190,1,0,-1.2404006652628639,-1.1555905887796,-0.38541449744387696,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
191,0,1,1.4252168102303961,1.6492409373844779,-0.22145841855569007,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,1,1,0.4256102569204237,1.960888884736042,-1.1547468676115231,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
193,0,1,-1.2404006652628639,-0.843942641428036,-0.12056237000911352,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
194,0,1,1.4252168102303961,0.7142970953297851,-0.7889986916301831,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
195,0,0,-1.2404006652628639,-0.843942641428036,0.7496660487051091,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
196,0,0,1.4252168102303961,-0.22064674672490753,-0.95295477051837,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
197,1,0,1.4252168102303961,0.7142970953297851,-0.5367585702637417,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
198,1,1,1.0920146257937386,0.40264914797822093,-1.3565389647046762,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
199,0,1,-0.5739962963895487,-1.1555905887796,0.6992180244318208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
200,1,1,1.4252168102303961,0.7142970953297851,-0.44847452778548724,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
201,1,1,0.4256102569204237,1.6492409373844779,-0.17101039428240178,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
202,0,1,-0.9071984808262062,-0.843942641428036,1.279370303574636,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
203,1,1,0.7588124413570813,1.6492409373844779,-0.8646707280401155,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
204,0,1,0.4256102569204237,-0.22064674672490753,-1.167358873679845,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
205,1,1,0.7588124413570813,0.40264914797822093,-0.5998186006053521,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
206,1,1,-0.9071984808262062,-0.5322946940764718,0.913622127593296,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
207,1,0,0.4256102569204237,1.3375929900329135,-1.3565389647046762,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,0,1,-0.9071984808262062,-0.843942641428036,-0.398026503512199,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
209,0,1,-0.5739962963895487,-1.1555905887796,0.6866060183634988,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
210,0,1,-1.2404006652628639,-0.843942641428036,-0.5998186006053521,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
211,0,1,1.0920146257937386,-0.22064674672490753,-0.9151187523134038,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
